# English → Traditional-Chinese assist derived from pinned CC-CEDICT,
# FrequencyWords English vocabulary, and rime-essay ranking data.
# Curated Hong Kong rows are a separately pinned higher-priority input.
# CC-CEDICT source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# CC-CEDICT source date: 2026-07-12T16:23:25Z
# CC-CEDICT SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# Per-key candidate cap: 3; key length<=32.
english,chinese,freq
accord,給予,0.5189
accord,協定,0.2635
accord,雅閣,0.2618
accordance,按照,0.7217
accordance,符合,0.6370
accordance,據,0.5519
accorded,見外,0.2379
accorded,哀榮,0.2244
accorded,國民待遇,0.2042
according,根據,0.7468
according,以,0.7460
according,按照,0.7217
accordingly,相應,0.6273
accordingly,隨之,0.3395
accordingly,據此,0.2778
accordion,手風琴,0.2374
accordion,摺,0.2505
accordion,奏摺,0.2328
account,賬號,0.5728
account,敘述,0.4145
account,口徑,0.3156
account-book,簿,0.2562
accountability,問責性,0.2171
accountability,當責,0.2000
accountability,明廚亮灶,0.2000
accountable,問責,0.2498
accountable,追責,0.2447
accountable,辦罪,0.2163
accountancy,會計,0.4720
accountancy,會計學,0.2578
accountancy,調節,0.4958
accountant,會計,0.4720
accountant,會計師,0.2645
accountant,賬房,0.2299
accounting,會計,0.4720
accounting,核算,0.2913
accounting,會計學,0.2578
accounts,賬目,0.2453
accounts,折,0.3894
accounts,應收賬款,0.2465
accumulate,積累,0.6446
accumulate,累,0.5511
accumulate,累積,0.3584
accumulated,累累,0.2528
accumulated,公積金,0.4497
accumulated,積分,0.4435
accumulating,湯玉麟,0.2222
accumulation,積累,0.6446
accumulation,堆積,0.3371
accumulation,聚點,0.2293
accuracy,準確性,0.3153
accuracy,精密,0.2913
accuracy,精確度,0.2402
accurate,準確,0.5813
accurate,精準,0.5590
accurate,準,0.3849
accurately,寫真,0.3027
accusation,罪名,0.3069
accusation,指控,0.2788
accusation,告發,0.2322
accusations,抗辯,0.2373
accusations,捕風捉影,0.2316
accusations,含冤,0.2305
accuse,攻擊,0.6088
accuse,彈,0.3520
accuse,攻,0.3264
accused,被告,0.3497
accused,被控,0.2454
accused,百口莫辯,0.2288
accuser,反坐,0.2212
accustomed,慣,0.2794
accustomed,狃,0.2264
accustomed,忕,0.2261
ace,王牌,0.3262
ace,么點,0.2000
ace,么,0.5003
ace-deuce,么二,0.2000
aces,對么,0.2000
aces,考霸,0.2000
acetone,丙酮,0.2357
acetylene,乙炔,0.2344
ach,乙酰膽鹼,0.2301
ache,痛,0.4492
ache,酸痛,0.2806
ache,痠,0.2400
aches,萬金油,0.2546
achieve,實現,0.7168
achieve,達到,0.6977
achieve,做到,0.6524
achieved,入關學,0.2000
achieved,住,0.6172
achieved,妝容,0.2689
achievement,成績,0.6944
achievement,成就,0.5725
achievement,業績,0.5538
achievements,造就,0.2968
achievements,烈,0.2911
achievements,政績,0.2652
achieving,無成,0.2360
achieving,毫無效果,0.2264
achieving,小道,0.2579
achilles,阿喀琉斯,0.2296
achilles,阿奇里斯,0.2153
achilles,死穴,0.2343
achim,亞金,0.2256
achim,以律,0.2256
achim,撒督,0.2180
aching,酸,0.3589
aching,酸軟,0.2067
acid,酸,0.3589
acid,尖酸,0.2320
acid,酸溜溜,0.2319
acid-resistant,耐酸,0.2343
acidic,黃壤,0.2259
acidity,酸性,0.2652
acids,肽,0.2529
acids,多肽,0.2350
acids,側鏈,0.2288
acknowledge,認同,0.5178
acknowledge,承認,0.5173
acknowledge,自認,0.2537
acknowledged,一席之地,0.2571
acknowledged,執牛耳,0.2265
acknowledgement,公證,0.2776
acknowledgement,致謝,0.2512
acknowledgement,是,0.7949
acknowledging,白條,0.2334
acknowledging,回條,0.2237
acknowledgment,認可,0.5595
acknowledgment,低頭認罪,0.2005
acme,竿頭,0.2294
acne,痘痘,0.2789
acne,青春痘,0.2552
acne,粉刺,0.2546
acorn,橡子,0.2263
acorn,橡實,0.2224
acorn,橡子麵,0.2000
acorns,萬丈高樓平地起,0.2248
acoustic,原聲,0.2649
acoustic,聲場,0.2396
acoustic,聲像,0.2329
acoustics,音響,0.3540
acoustics,聲學,0.3121
acoustics,收音,0.2472
acquaintance,熟人,0.3530
acquaintance,相識,0.2952
acquaintance,舊識,0.2309
acquaintances,濫交,0.2320
acquaintances,殺熟,0.2237
acquainted,熟,0.3688
acquainted,認識,0.6402
acquainted,熟知,0.3850
acquire,獲取,0.6387
acquire,取得,0.5510
acquire,養成,0.4458
acquired,後天,0.3779
acquired,獲得性,0.2322
acquired,後天性,0.2292
acquiring,惡搞,0.2903
acquiring,假借,0.2393
acquiring,惡搞文化,0.2219
acquisition,收購,0.5071
acquisition,併購,0.3483
acquisition,習得,0.2591
acquisitions,兼並與收購,0.2000
acquitted,脫罪,0.2278
acre,阿卡,0.2398
acre,英畝,0.2324
acrobat,雜技演員,0.2276
acrobatic,解,0.4346
acrobatic,武打,0.2453
acrobatic,開打,0.2524
acrobatics,把戲,0.2500
acrobatics,雜技,0.2475
acrobatics,雜戲,0.2218
acrobats,遊藝團,0.2111
acronym,縮略語,0.2318
acronym,首字母縮寫,0.2244
acronym,縮語,0.2000
acropolis,衛城,0.2335
acropolis,雅典衛城,0.2274
acropolis,帕台農,0.2000
across,對面,0.5820
across,橫,0.3536
across,對過,0.2344
across-the-board,全場,0.4290
acrylic,亞克力,0.2378
acrylic,壓克力,0.2355
acrylic,腈,0.2343
act,動作,0.7053
act,表演,0.5882
act,節目,0.5677
acted,早知今日何必當初,0.2235
actin,肌動蛋白,0.2268
acting,演技,0.4582
acting,淡出,0.2564
acting,放羊,0.2484
action,作用,0.7113
action,動作,0.7053
action,行動,0.5305
actions,溜,0.2880
actions,擦邊球,0.2385
actions,股,0.5824
activate,激活,0.4067
activate,啟動,0.2000
activate,祭,0.2765
activated,活性,0.3371
activated,活性炭,0.2566
activated,活性氧類,0.2000
activating,轉紐,0.2096
activation,活化,0.2609
activation,活化分析,0.2227
active,主動,0.6582
active,積極,0.5469
active,活躍,0.4856
actively,危機感,0.2431
actively,處心積慮,0.2327
actively,騎驢找馬,0.2263
activism,行動主義,0.2228
activism,環境行動主義,0.2044
activism,艾未未,0.2010
activist,鬥士,0.2543
activist,活動家,0.2317
activist,活躍分子,0.2293
activities,運作,0.4581
activities,停擺,0.2307
activities,上線,0.5259
activity,作用,0.7113
activity,活動,0.7051
activity,事業,0.5243
actor,演員,0.6143
actor,伶,0.2461
actor,戲子,0.2417
actor's,臺詞,0.4851
actor's,戲份,0.3367
actor's,行頭,0.2411
actors,配角,0.3170
actors,旦,0.2618
actors,偶像劇,0.2539
actress,演員,0.6143
actress,女優,0.2715
actress,伶,0.2461
acts,使徒行傳,0.2274
acts,回,0.6584
acts,偉績,0.2328
actual,實際,0.6822
actual,現實,0.6225
actual,真相,0.5179
actuality,現實,0.6225
actually,其實,0.7765
actually,才,0.7249
actually,所,0.6908
acumen,慧眼,0.2482
acumen,才氣過人,0.2200
acumen,才識過人,0.2185
acupuncture,穴,0.2896
acupuncture,針灸,0.2748
acupuncture,穴位,0.2598
acute,聰明,0.4629
acute,激烈,0.4549
acute,劇,0.3449
ad,公元,0.3916
ad,西元,0.2338
ad,廣子,0.2000
ad-blocker,廣告攔截器,0.2000
adage,成語,0.3318
adage,古訓,0.2319
adam,亞當,0.2991
adam,阿丹,0.2305
adam,國富論,0.2605
adam's,喉結,0.2311
adams,亞當斯,0.2479
adapt,適應,0.5551
adapt,改編,0.4639
adapt,改成,0.4454
adaptability,適應性,0.2692
adaptability,應變力,0.2265
adaptable,機動,0.2818
adaptable,機變,0.2312
adaptable,活泛,0.2267
adaptation,適配,0.3549
adaptation,本地化,0.2650
adaptation,翻拍,0.2591
adaptations,天龍八部,0.2591
adaptations,射鵰英雄傳,0.2352
