# Jyutping (粵拼) dictionary — source rime-cantonese (CC-BY/ODbL) + essay freq
# Toneless codes; includes Cantonese colloquial vocabulary.
# Fields: jyutping, chinese, freq
jyutping,chinese,freq
baaibak,敗北,0.4663
baaibat,敗筆,0.4737
baaibing,敗兵,0.4607
baaibit,拜別,0.4619
baaibou,擺佈,0.4733
baaicaam,拜懺,0.4576
baaice,掰扯,0.4647
baaicit,擺設,0.4844
baaidak,敗德,0.4669
baaiduk,拜讀,0.4772
baaidung,擺動,0.4864
baaifong,擺放,0.5083
baaifong,拜訪,0.4989
baaifuk,拜服,0.4611
baaifun,擺款,0.4493
baaigaa,敗家,0.4776
baaigam,拜金,0.4674
baaigin,拜見,0.4729
baaigung,擺供,0.4504
baaigwan,敗軍,0.4619
baaigwong,敗光,0.4618
baaihau,拜候,0.4501
baaileoi,敗類,0.4799
baailit,擺列,0.4572
baailou,敗露,0.4664
baaimaai,擺賣,0.4623
baaimei,擺尾,0.4648
baaiming,擺明,0.475
baaimiu,拜廟,0.453
baaimong,拜望,0.4603
baainin,拜年,0.4804
baaiping,擺平,0.477
baaipou,擺譜,0.463
baaisan,拜神,0.4651
baaisau,拜壽,0.4627
baaiseoi,敗絮,0.4616
baaisi,拜師,0.4763
baaisin,擺線,0.4651
baaisou,敗訴,0.4756
baaiteoi,敗退,0.4665
baaitip,拜帖,0.459
baaitok,拜託,0.5089
baaitong,拜堂,0.4636
baaityut,擺脫,0.5292
baaiwaai,敗壞,0.4795
baaiwui,拜會,0.4704
baaizai,拜祭,0.4656
baaizan,敗陣,0.4613
baaizan,擺陣,0.4594
baaizau,敗走,0.4657
baaizau,擺酒,0.4641
baaizoeng,敗仗,0.4653
baaizoeng,敗將,0.4646
baaizung,擺鐘,0.4582
baajau,罷休,0.4761
baajyu,䰾魚,0.451
baak,白,0.3148
baak,百,0.2796
baak,柏,0.2605
baak,伯,0.2534
baak,泊,0.2446
baak,卜,0.2435
baak,迫,0.2411
baak,舶,0.2249
baak,蔔,0.2239
baak,佰,0.2236
baak,孛,0.2232
baak,薜,0.2216
baak,菔,0.2212
baak,匐,0.2154
baak,帛,0.2148
baak,殕,0.2113
baak,濼,0.209
baak,櫱,0.2075
baak,絔,0.2041
baak,僰,0.2036
baak,栢,0.2031
baak,苩,0.2029
baak,粨,0.1991
baak,鮊,0.1979
baak,檗,0.1955
baak,踣,0.1952
baak,狛,0.1933
baak,挀,0.1914
baak,廹,0.1901
baak,袹,0.1882
baak,敀,0.1833
baak,糪,0.1802
baak,蘗,0.045
baakai,白翳,0.4517
baakbaak,白白,0.4987
baakbaak,伯伯,0.4814
baakbaan,白板,0.4876
baakbun,百般,0.4795
baakcaa,白茶,0.4659
baakce,白車,0.4582
baakci,白癡,0.5158
baakcoi,白菜,0.5018
baakdaap,百搭,0.4905
baakdaap,白搭,0.4727
baakdung,白洞,0.4466
baakfaan,白飯,0.4704
baakfaan,白礬,0.4618
baakfai,白費,0.4785
baakfan,白粉,0.4708
baakfat,白佛,0.4634
baakfei,白匪,0.4569
baakfo,百貨,0.491
baakfu,白虎,0.4811
baakfu,伯父,0.4754
baakfui,白灰,0.4663
baakgaai,百佳,0.4719
baakgaan,白揀,0.454
baakgaap,白鴿,0.467
baakgam,白金,0.5001
baakgam,鉑金,0.4899
baakgam,帛金,0.4506
baakgin,白鍵,0.4571
baakgong,白鋼,0.4627
baakgun,白鸛,0.4598
baakgung,白宮,0.4845
baakgung,伯公,0.4591
baakgwai,白鬼,0.4574
baakgwan,白軍,0.4599
baakgwat,白骨,0.477
baakgwo,百果,0.4702
baakgwo,白果,0.4674
baakhaan,白鷳,0.4587
baakhak,兡,0.1868
baakhap,百合,0.4952
baakhek,白喫,0.472
baakhok,白鶴,0.4729
baakhuk,白鵠,0.4506
baakjan,白人,0.522
baakjat,白日,0.4757
baakjau,柏油,0.4671
baakjoeng,白羊,0.4789
baakjuk,白肉,0.4646
baakjyut,百越,0.4638
baakkeoi,白區,0.4586
baaklaap,白蠟,0.4644
baaklaap,白鑞,0.4446
baaklau,帛琉,0.4551
baaklei,白痢,0.4615
baakleng,白領,0.5025
baakleon,白磷,0.4612
baaklok,伯樂,0.4767
baaklou,白露,0.4712
baaklou,伯勞,0.4603
baakmaan,百萬,0.5204
baakmai,白米,0.4652
baakmong,百忙,0.4746
baakmou,伯母,0.4722
baakmui,白煤,0.4568
baakngaa,瓸,0.1718
baakngaan,白眼,0.481
baakngaan,伯顏,0.4616
baakngai,白蟻,0.4727
baakngo,白俄,0.4621
baakok,白堊,0.4655
baakpei,白砒,0.4496
baakpiu,白票,0.4476
baakpo,伯婆,0.4521
baaksau,白手,0.4689
baaksi,百事,0.4828
baaksi,白事,0.4609
baaksik,白色,0.5442
baaksik,白皙,0.48
baaksik,白食,0.461
baaksin,白鱔,0.458
baaksing,百姓,0.5305
baaksing,竡,0.1875
baaktau,白頭,0.4763
baaktin,白天,0.5371
baaktong,白糖,0.4873
baaktong,白湯,0.4616
baaktou,白兔,0.4699
baaktou,白陶,0.4569
baakuk,白屋,0.4603
baakwaa,白話,0.4792
baakwaa,帛畫,0.4592
baakwan,白雲,0.4955
baakyun,霸權,0.4883
baakzau,白酒,0.5289
baakzau,白晝,0.4731
baakzeng,白淨,0.4717
baakzi,白紙,0.4815
baakzi,白字,0.4644
baakzoek,伯爵,0.4907
baakzou,白做,0.463
baakzuk,百足,0.4617
baakzuk,白粥,0.4476
baalai,巴黎,0.5361
baalam,巴林,0.4737
baaling,霸凌,0.4729
baaliu,罷了,0.5541
baalok,芭樂,0.4626
baamak,把脈,0.4677
baamin,罷免,0.4758
baan,辦,0.3191
baan,版,0.3185
baan,班,0.3072
baan,般,0.293
baan,板,0.2824
baan,斑,0.2426
baan,瓣,0.2417
baan,扮,0.238
baan,扳,0.2359
baan,阪,0.2348
baan,坂,0.2214
baan,頒,0.2183
baan,昄,0.2144
baan,鈑,0.2086
baan,闆,0.2085
baan,爿,0.2059
baan,丬,0.2059
baan,瘢,0.2055
baan,湴,0.2031
baan,癍,0.2027
baan,舨,0.2023
baan,蝂,0.2016
baan,辬,0.1956
baan,攽,0.1917
baan,朌,0.1876
baan,魬,0.187
baan,螌,0.1862
baan,岅,0.1854
baan,埿,0.1848
baan,肦,0.1839
baan,瓪,0.1831
baan,斒,0.1827
baan,鳻,0.1813
baanbaak,斑白,0.4645
baanbaak,班白,0.4558
baanbik,板壁,0.4603
baanbit,班別,0.4617
baanbit,斑鱉,0.4552
baanbou,頒佈,0.4924
baanbou,辦報,0.4645
baanbui,班輩,0.4514
baanbun,版本,0.5762
baancaat,板擦,0.4595
baancaat,板刷,0.4595
baanci,班次,0.4763
baanci,版次,0.469
baanci,頒賜,0.4566
baandai,班底,0.4771
baandang,板凳,0.4904
baandim,斑點,0.4822
baaneoi,吧女,0.4606
baanfaa,班花,0.4653
baanfaai,板塊,0.5377
baanfaat,辦法,0.5599
baanfaat,頒發,0.5003
baanfo,辦貨,0.4548
baanfong,班房,0.4632
baanfu,板斧,0.4645
baang,蹦,0.2485
baang,繃,0.2305
baang,堋,0.2054
baang,唪,0.1952
baang,塴,0.1851
baang,綳,0.1466
baangei,班機,0.4721
baangei,扳機,0.4709
baangu,班固,0.4637
baangung,辦公,0.526
baanhak,版刻,0.4582
baanhok,辦學,0.4935
baanjau,板油,0.4642
baanjin,扮演,0.5225
baankap,班級,0.5226
baankau,板球,0.4661
baankau,斑鳩,0.4648
baankei,班期,0.463
baankyun,版權,0.5482
baanlaan,斑斕,0.4745
baanlaan,斑讕,0.4569
baanlai,斑鱧,0.4502
baanlei,辦理,0.5468
baanleot,板栗,0.4753
baanling,斑羚,0.4617
baanmaa,斑馬,0.4801
baanman,斑紋,0.4653
baanmin,版面,0.5047
baanmok,斑剝,0.4538
baanngaam,板岩,0.4628
baanngaam,斑岩,0.4616
baanon,辦案,0.4906
baansap,班什,0.4459
baansau,扳手,0.4737
baansau,頒授,0.4598
baanseoi,版稅,0.4757
baansi,辦事,0.5108
baansik,版式,0.476
baansin,班線,0.4646
baansoeng,扮相,0.4742
baansoeng,頒賞,0.4491
baansyu,板書,0.4738
baantou,版圖,0.4865
baantuk,斑禿,0.4646
baanwaa,版畫,0.4737
baanwu,板胡,0.4611
baanwui,班會,0.474
baanzai,板滯,0.4555
baanzang,頒贈,0.4572
baanzi,板子,0.5005
baanzi,班子,0.4921
baanzi,扳指,0.4627
baanzi,扳子,0.4614
baanzoeng,班長,0.5016
baanzoeng,頒獎,0.4905
baanzong,扮裝,0.4591
baanzong,板樁,0.4552
baanzuk,版築,0.4564
baanzyu,版主,0.5225
baanzyu,班主,0.4643
baanzyun,板磚,0.4787
baasai,巴西,0.5264
baasai,把勢,0.4574
baasam,靶心,0.4622
